params,f1_score,erro
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6655011655011656,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6655011655011656,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 500}",0.649120050282841,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.649120050282841,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.649120050282841,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.649120050282841,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 500}",,Solver produced non-finite parameter weights. The input data may contain large values and need to be preprocessed.
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1000}",,Solver produced non-finite parameter weights. The input data may contain large values and need to be preprocessed.
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1500}",,Solver produced non-finite parameter weights. The input data may contain large values and need to be preprocessed.
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 2000}",,Solver produced non-finite parameter weights. The input data may contain large values and need to be preprocessed.
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.6614917276681982,
